IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_OR_20161108_GEN_PRE_DEM_CLINTON,USA_OR_20161108_GEN_PRE_REP_TRUMP,USA_OR_20161108_GEN_PRE_LIB_JOHNSON,USA_OR_20161108_GEN_PRE_GRE_STEIN,USA_OR_20161108_GEN_PRE_OTH_WRITEIN,USA_OR_20161108_GEN_USS_DEM_WYDEN,USA_OR_20161108_GEN_USS_REP_CALLAHAN,USA_OR_20161108_GEN_USS_LIB_LINDSAY,USA_OR_20161108_GEN_USS_GRE_NAVICKAS,USA_OR_20161108_GEN_USS_WOR_LEWALLEN,USA_OR_20161108_GEN_USS_IND_REYNOLDS,USA_OR_20161108_GEN_USS_OTH_WRITEIN,USA_OR_20161108_GEN_GOV_DEM_BROWN,USA_OR_20161108_GEN_GOV_REP_PIERCE,USA_OR_20161108_GEN_GOV_LIB_FOSTER,USA_OR_20161108_GEN_GOV_CON_AUER,USA_OR_20161108_GEN_GOV_IND_THOMASON,USA_OR_20161108_GEN_GOV_OTH_WRITEIN,USA_OR_20161108_GEN_ATG_DEM_ROSENBLUM,USA_OR_20161108_GEN_ATG_REP_CROWE,USA_OR_20161108_GEN_ATG_LIB_HEDBOR,USA_OR_20161108_GEN_ATG_OTH_WRITEIN,USA_OR_20161108_GEN_SOS_DEM_AVAKIAN,USA_OR_20161108_GEN_SOS_REP_RECHARDSON,USA_OR_20161108_GEN_SOS_LIB_DURBIN,USA_OR_20161108_GEN_SOS_GRE_ZUNDEL,USA_OR_20161108_GEN_SOS_CON_MARSH,USA_OR_20161108_GEN_SOS_IND_WELLS,USA_OR_20161108_GEN_SOS_OTH_WRITEIN,USA_OR_20161108_GEN_TRE_DEM_READ,USA_OR_20161108_GEN_TRE_REP_GUDMAN,USA_OR_20161108_GEN_TRE_PRO_HENRY,USA_OR_20161108_GEN_TRE_IND_TELFER,USA_OR_20161108_GEN_TRE_OTH_WRITEIN
0,_Baker,_Baker City 1,_01,222,565,44,18,17,374,410,9,6,15,33,0,248,550,21,13,23,1,271,483,31,1,196,544,23,12,19,27,0,208,486,24,80,1
0,_Baker,_Baker City 2,_02,209,520,47,17,30,354,386,16,9,22,33,0,225,515,24,11,36,1,269,475,26,2,189,510,26,17,12,28,0,216,439,29,85,0
0,_Baker,_Baker City 3,_03,202,611,39,21,20,338,481,7,14,23,19,0,235,587,14,21,21,0,263,528,35,3,202,584,17,18,15,28,0,211,523,29,72,2
0,_Baker,_Baker City 4,_04,222,745,52,24,24,452,512,7,15,23,40,1,262,706,31,10,36,3,312,671,27,1,221,725,17,19,13,40,0,214,652,33,110,1
0,_Baker,_Baker City 5,_05,217,820,58,16,26,441,600,13,8,23,47,1,271,782,33,14,32,2,311,701,33,2,216,792,27,15,16,34,1,245,697,35,90,1
0,_Baker,_Baker,_13,93,568,17,3,17,220,421,13,0,8,15,0,106,550,4,11,15,0,116,507,16,0,73,567,8,7,7,11,0,90,501,6,51,0
0,_Baker,_Durkee,_14,4,77,1,0,0,11,66,1,0,2,2,0,5,74,0,1,2,0,5,72,0,0,4,74,0,1,1,1,0,5,66,2,4,0
0,_Baker,_Eagle Valley,_15,72,330,14,2,7,133,246,8,2,11,18,0,75,325,5,11,6,1,93,289,17,1,74,311,8,2,7,11,0,73,284,11,33,0
0,_Baker,_Haines,_17,94,406,43,6,21,196,329,10,5,6,17,0,115,421,14,7,7,0,103,409,17,0,74,425,16,4,8,18,0,90,379,15,47,0
0,_Baker,_Hereford,_18,4,69,2,2,1,15,55,1,1,2,3,0,6,65,1,2,2,0,8,64,2,0,3,66,1,2,1,3,0,3,62,2,7,0
0,_Baker,_Huntington,_19,46,170,19,4,3,104,88,5,0,16,22,0,67,140,5,11,12,0,84,129,9,0,60,132,10,4,4,15,0,58,121,10,36,0
0,_Baker,_Irondyke,_20,13,38,4,0,3,21,26,2,1,0,3,0,17,33,2,0,3,0,16,34,4,0,12,33,1,0,1,6,0,13,35,1,5,0
0,_Baker,_Keating,_21,14,130,10,4,2,35,116,0,0,4,4,0,19,137,1,0,3,0,23,131,0,0,12,137,1,1,0,7,0,10,127,2,14,0
0,_Baker,_Pine Valley,_22,163,370,23,9,22,254,291,9,13,9,12,0,172,370,13,20,15,0,200,324,17,0,161,341,11,6,15,19,0,159,309,27,48,0
0,_Baker,_Poco-Wing,_24,161,513,27,4,24,272,408,6,1,13,27,0,158,538,10,8,15,0,173,504,13,0,131,533,8,2,9,25,0,142,483,9,57,0
0,_Baker,_Sumpter,_25,55,208,12,3,0,115,149,2,1,3,12,0,60,200,5,5,9,0,82,183,6,1,50,195,10,1,6,12,0,55,170,6,37,0
0,_Baker,_Unity,_26,6,78,1,1,0,13,70,0,0,1,2,0,6,76,1,0,1,0,5,74,0,0,3,74,0,1,1,2,0,5,73,0,3,0
0,_Benton,_Corvallis 1,_01,2311,787,197,88,120,2294,801,50,98,107,83,0,2169,1075,90,8,58,10,2169,998,78,4,1881,1137,76,93,5,113,4,1785,1019,163,274,4
0,_Benton,_Corvallis 2,_02,1737,326,164,122,87,1549,312,43,175,148,86,5,1652,418,106,13,83,3,1593,417,112,8,1417,452,84,136,16,81,4,1277,423,246,184,6
0,_Benton,_Corvallis 3,_03,2147,617,199,160,128,2038,630,37,178,153,121,4,2142,801,96,25,82,4,2135,757,102,9,1786,852,77,182,17,137,4,1619,753,269,330,4
0,_Benton,_Corvallis 4,_04,1772,419,176,77,63,1518,450,38,99,104,109,2,1561,530,102,16,78,4,1520,567,87,7,1336,600,66,92,10,103,7,1270,562,128,208,5
0,_Benton,_Corvallis 5,_05,1781,291,144,96,81,1557,304,40,151,101,85,4,1663,375,79,13,58,5,1611,352,105,7,1398,431,66,127,8,74,5,1292,380,205,179,4
0,_Benton,_Corvallis 6,_06,2151,531,143,150,138,2066,509,32,151,167,106,4,2127,691,79,22,90,5,2130,650,89,6,1830,747,65,154,20,104,6,1677,674,249,255,5
0,_Benton,_Corvallis 7,_07,2963,516,170,129,114,2849,527,46,160,128,105,3,2899,721,83,9,63,4,2818,690,106,6,2467,833,87,159,10,116,4,2329,716,237,303,2
0,_Benton,_Corvallis 8,_08,2809,782,156,83,132,2759,862,21,102,73,86,2,2607,1142,58,13,56,4,2599,1073,61,10,2210,1263,56,103,7,120,10,2206,1106,135,263,10
0,_Benton,_Corvallis 9,_09,1917,752,190,123,165,1927,743,45,128,127,113,1,1925,926,84,29,101,1,1918,913,102,4,1605,1030,91,101,15,126,6,1549,914,208,261,3
0,_Benton,_Philomath City,_10,1174,872,196,83,119,1328,787,32,76,100,81,3,1211,1006,71,34,71,4,1251,926,97,3,1060,1021,56,66,25,99,2,1004,891,128,251,3
0,_Benton,_Adair Village,_12,193,173,28,17,29,201,177,6,12,16,17,0,193,209,10,5,12,0,204,194,18,0,170,218,8,8,4,18,1,152,192,24,45,0
0,_Benton,_Monroe City,_13,87,157,11,9,5,108,114,3,6,9,23,0,85,137,8,17,17,0,105,145,8,0,85,146,2,3,12,14,1,84,132,21,23,0
0,_Benton,_Alsea School,_14,165,306,21,25,13,202,255,11,21,11,22,0,178,302,8,8,21,2,191,283,29,1,149,292,14,20,5,31,0,161,264,36,38,0
0,_Benton,_Northwest,_15,1064,1025,132,63,71,1164,940,27,59,57,61,4,1064,1114,60,25,50,3,1089,1043,75,5,945,1120,41,64,6,79,2,874,1005,104,222,3
0,_Benton,_Corvallis Rural,_16,1699,795,128,102,110,1725,818,23,103,63,75,1,1651,1042,55,6,48,3,1697,942,64,7,1458,1086,34,89,11,69,2,1398,964,137,209,0
0,_Benton,_North,_17,861,344,61,36,62,875,358,13,37,30,32,0,833,450,27,3,16,1,825,409,32,0,711,457,22,40,10,43,1,689,426,47,106,1
0,_Benton,_Albany Rural,_18,491,740,84,20,52,573,697,18,24,25,38,1,440,882,23,12,22,1,491,786,44,2,388,860,20,21,6,46,1,417,773,29,98,1
0,_Benton,_South,_19,519,424,61,25,31,559,402,8,26,20,31,0,507,488,17,8,19,1,521,450,20,1,442,484,11,38,3,40,0,441,440,44,74,0
0,_Benton,_Monroe Rural,_20,492,788,79,39,40,610,680,16,32,37,46,0,491,842,32,18,33,1,544,763,39,4,442,828,28,31,8,57,1,425,756,62,118,3
0,_Benton,_Philomath Rural,_21,167,144,20,10,15,174,132,3,12,10,16,0,156,181,6,2,7,0,165,164,7,0,137,176,6,3,4,15,0,127,155,15,32,1
0,_Benton,_Adair Rural,_22,243,182,19,4,18,257,170,7,7,8,11,0,224,219,5,2,4,1,226,186,16,0,199,215,6,6,1,11,0,201,192,12,32,0
0,_Benton,_Highway 20,_23,306,237,30,27,21,317,219,12,26,17,20,0,306,266,18,4,14,0,311,247,28,0,255,278,19,26,3,11,0,255,249,36,46,0
0,_Benton,_N Albany North,_24,1214,1230,176,67,118,1324,1180,36,36,75,114,3,1131,1504,54,24,57,6,1203,1363,75,5,1002,1444,59,52,19,105,4,964,1343,93,235,5
0,_Benton,_N Albany South,_25,930,1007,107,40,96,1033,931,28,42,51,81,0,828,1222,35,19,57,1,916,1071,65,3,733,1186,34,37,13,89,0,728,1056,83,190,1
0,_Clackamas,_000,_000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Clackamas,_001,_001,1663,1430,203,78,158,1891,1222,51,66,101,99,5,1646,1559,86,34,85,7,1695,1403,117,11,1373,1622,70,66,23,125,10,1421,1378,143,269,10
0,_Clackamas,_002,_002,1400,1145,160,80,148,1527,1002,43,72,109,93,5,1370,1268,78,39,85,5,1479,1148,85,5,1176,1285,88,63,24,117,6,1171,1121,141,258,8
0,_Clackamas,_003,_003,954,879,111,51,113,1096,730,32,40,65,81,7,996,947,50,20,42,7,1046,814,72,7,823,948,62,44,18,76,7,836,855,73,174,12
0,_Clackamas,_004,_004,19,25,0,0,0,22,19,0,0,1,0,0,18,24,0,0,0,0,19,22,1,0,14,27,0,1,0,0,0,13,23,1,5,0
0,_Clackamas,_005,_005,1617,1534,222,82,170,1831,1320,69,77,111,129,3,1574,1660,102,49,116,8,1723,1493,130,9,1356,1706,121,72,38,142,4,1378,1526,169,276,7
0,_Clackamas,_006,_006,1010,1151,155,36,127,1215,1050,18,28,57,60,3,1005,1310,38,15,47,3,1054,1183,46,4,784,1394,46,37,6,80,1,842,1188,68,190,2
0,_Clackamas,_007,_007,1102,1129,180,38,111,1292,961,33,28,78,87,10,1104,1247,55,32,52,3,1139,1124,85,2,901,1251,66,45,15,108,4,949,1118,83,181,4
0,_Clackamas,_010,_010,4,17,2,0,0,6,18,1,0,0,0,0,4,20,0,0,1,0,4,19,1,0,1,21,1,0,0,1,0,3,18,0,3,0
0,_Clackamas,_031,_031,927,783,121,36,87,1058,649,32,51,51,58,4,948,834,45,23,47,8,1004,729,71,5,765,872,74,50,13,53,4,812,725,102,150,6
0,_Clackamas,_032,_032,992,778,121,66,82,1133,617,21,64,71,59,2,977,842,60,12,80,3,1023,752,71,2,814,881,57,54,21,67,2,822,716,105,193,1
0,_Clackamas,_033,_033,980,782,111,20,91,1087,662,29,30,62,52,2,939,877,40,14,51,1,1008,766,42,3,775,933,39,33,13,72,1,815,771,64,157,2
0,_Clackamas,_051,_051,1594,578,96,100,93,1596,466,24,102,111,70,7,1554,633,64,25,72,12,1602,574,71,7,1267,713,57,111,15,92,6,1254,584,179,202,9
0,_Clackamas,_052,_052,1578,718,125,81,83,1658,549,40,86,127,73,2,1548,791,66,20,75,6,1596,708,77,6,1313,817,57,96,15,113,7,1286,727,158,211,4
0,_Clackamas,_053,_053,1186,640,96,57,90,1265,480,30,70,85,73,0,1162,677,59,23,73,4,1221,589,89,2,988,711,61,68,10,90,1,967,607,103,212,1
0,_Clackamas,_054,_054,1304,565,101,66,84,1375,460,23,72,78,56,2,1257,679,57,6,51,7,1320,575,59,4,1051,719,56,75,6,80,5,1041,589,118,197,3
0,_Clackamas,_055,_055,1230,748,128,64,82,1346,601,24,60,91,74,5,1188,825,56,31,79,6,1282,712,89,4,1003,865,61,56,16,120,6,1022,743,113,195,5
0,_Clackamas,_070,_070,2,1,0,0,1,3,0,0,0,0,0,1,1,2,0,0,0,1,0,3,0,1,0,4,0,0,0,0,0,0,4,0,0,0
0,_Clackamas,_071,_071,100,34,6,1,8,106,31,1,2,2,3,0,81,61,2,0,4,0,93,44,3,0,57,78,3,2,0,2,0,70,50,1,16,0
0,_Clackamas,_072,_072,51,33,3,2,6,55,27,2,2,4,1,0,47,36,5,0,0,0,53,31,3,0,43,37,3,1,0,4,0,42,29,8,8,0
0,_Clackamas,_073,_073,87,53,11,4,7,91,50,0,4,5,8,0,85,62,7,0,2,1,94,52,4,0,68,68,6,7,1,3,0,65,56,5,21,0
0,_Clackamas,_074,_074,24,28,4,1,0,31,25,1,0,2,1,0,19,39,1,0,0,1,22,30,2,1,17,41,1,0,0,1,1,17,37,0,0,1
0,_Clackamas,_100,_100,161,176,12,3,10,184,161,2,2,4,4,0,141,195,4,4,3,0,146,182,4,0,115,211,4,4,3,4,0,133,187,4,10,0
0,_Clackamas,_101,_101,2450,1931,245,65,160,2560,1809,39,51,128,112,9,2192,2295,76,23,80,8,2282,2022,120,8,1841,2384,79,51,23,145,6,1880,2116,120,283,6
0,_Clackamas,_102,_102,240,162,15,9,14,227,143,8,16,15,10,0,214,183,11,1,9,1,214,161,17,0,160,195,19,5,0,16,0,175,174,17,26,0
0,_Clackamas,_103,_103,1402,1276,147,44,97,1520,1239,27,20,48,53,9,1244,1557,34,19,48,7,1294,1375,79,7,985,1644,42,39,14,83,4,1056,1428,52,187,3
0,_Clackamas,_104,_104,2,1,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,1,2,0,0,0
0,_Clackamas,_105,_105,453,389,56,13,53,492,396,10,8,15,22,1,418,498,9,5,17,0,441,444,13,2,346,531,15,11,1,20,0,364,452,13,64,1
0,_Clackamas,_106,_106,510,793,81,20,72,621,637,28,31,55,48,0,544,780,42,26,31,2,600,701,58,1,467,777,49,28,21,50,1,459,694,74,138,1
0,_Clackamas,_107,_107,915,1327,144,48,116,1072,1129,39,39,99,86,5,946,1373,64,30,72,2,1002,1249,90,6,796,1374,70,47,21,93,3,786,1239,99,217,5
0,_Clackamas,_108,_108,818,1207,144,55,79,982,989,34,42,71,107,4,844,1200,81,39,49,6,914,1097,86,2,683,1228,63,42,15,104,0,700,1117,93,187,2
0,_Clackamas,_111,_111,1005,2121,281,66,127,1317,1757,50,53,130,159,9,1077,2131,88,59,124,10,1231,1948,127,15,909,2114,90,55,42,162,8,957,1918,123,319,10
0,_Clackamas,_122,_122,1136,1369,145,53,124,1275,1261,23,33,72,99,3,1081,1531,55,25,71,2,1138,1415,66,6,885,1622,49,40,23,88,1,884,1393,98,254,4
0,_Clackamas,_124,_124,870,1062,118,32,100,1048,949,23,31,45,77,1,854,1246,23,12,34,1,886,1125,57,5,696,1242,43,36,16,81,4,721,1097,54,194,5
0,_Clackamas,_125,_125,1206,1515,186,36,117,1491,1257,53,32,73,95,1,1260,1603,59,29,51,5,1301,1426,114,4,998,1687,75,41,18,105,8,1064,1430,114,246,3
0,_Clackamas,_130,_130,1358,935,115,48,97,1389,950,29,35,60,44,2,1196,1216,52,9,38,5,1255,1064,64,3,959,1295,55,41,11,63,6,1003,1126,71,167,6
0,_Clackamas,_131,_131,1476,991,154,30,120,1534,989,33,37,42,71,2,1313,1283,44,12,44,1,1369,1144,54,5,1054,1406,40,34,11,74,6,1104,1186,75,184,3
0,_Clackamas,_132,_132,1257,713,111,35,100,1309,703,25,29,43,45,2,1126,923,40,4,40,8,1183,803,46,3,930,1001,39,32,6,67,2,951,850,66,161,2
0,_Clackamas,_133,_133,2030,1042,189,51,133,2137,1010,45,57,66,65,2,1859,1367,66,10,60,6,1896,1204,76,8,1509,1512,64,52,11,87,4,1514,1289,116,245,7
0,_Clackamas,_134,_134,1413,659,108,29,75,1475,625,27,24,51,39,1,1285,875,38,9,27,3,1303,774,58,7,1019,997,38,45,6,59,4,1059,825,76,165,4
0,_Clackamas,_135,_135,1467,779,143,34,93,1519,783,17,32,34,72,7,1354,1008,44,15,21,7,1358,910,61,9,1059,1158,35,35,7,62,8,1048,1011,61,186,7
0,_Clackamas,_151,_151,1639,635,124,37,93,1681,680,11,26,49,40,4,1404,995,31,6,29,6,1496,841,27,3,1155,1120,36,47,1,51,1,1139,1065,43,131,2
0,_Clackamas,_152,_152,1775,723,112,47,102,1851,725,18,38,45,42,2,1591,1014,36,15,41,3,1631,907,42,6,1303,1163,40,52,7,59,2,1274,1095,69,154,1
0,_Clackamas,_153,_153,1584,627,135,33,103,1566,691,15,33,52,48,0,1324,985,45,6,31,3,1385,814,53,2,1040,1134,40,31,4,63,2,1070,989,48,172,6
0,_Clackamas,_154,_154,442,209,19,3,16,456,212,5,0,4,6,0,390,286,3,2,2,0,388,258,6,0,286,339,7,7,2,13,0,276,313,6,50,0
0,_Clackamas,_155,_155,1861,866,132,31,112,1924,900,18,31,31,50,1,1620,1255,30,13,27,5,1640,1069,56,6,1247,1423,36,46,6,52,5,1196,1377,69,154,0
0,_Clackamas,_156,_156,1881,924,121,33,110,1955,906,30,35,52,50,3,1609,1298,50,8,29,13,1642,1121,75,2,1247,1480,62,45,6,70,3,1188,1420,59,204,3
0,_Clackamas,_157,_157,1424,628,82,29,79,1441,673,15,27,21,34,4,1188,953,38,7,20,5,1236,822,40,5,974,1047,39,34,5,42,4,930,994,49,141,2
0,_Clackamas,_158,_158,1117,545,114,20,68,1163,565,22,18,24,36,3,958,800,25,9,25,4,1014,686,25,3,797,881,29,21,4,27,2,759,835,34,107,3
0,_Clackamas,_159,_159,2327,888,115,55,133,2316,883,26,81,79,46,5,2070,1211,51,12,50,6,2106,1063,70,6,1681,1411,43,59,3,94,1,1578,1371,95,199,2
0,_Clackamas,_160,_160,217,116,21,9,20,234,122,4,5,6,6,0,175,180,9,0,3,3,189,152,9,0,135,212,7,2,0,7,0,134,191,9,16,1
0,_Clackamas,_201,_201,1455,961,130,58,139,1487,959,27,46,58,85,7,1294,1261,51,17,53,1,1327,1140,78,6,1085,1300,41,51,16,96,3,1126,1169,69,182,3
0,_Clackamas,_202,_202,1940,1423,246,87,215,1978,1386,66,96,138,129,9,1771,1753,124,33,98,5,1840,1618,142,8,1538,1832,90,64,23,132,9,1494,1649,163,296,8
0,_Clackamas,_203,_203,1013,956,65,13,65,1171,888,12,11,8,24,0,911,1163,18,5,18,2,998,1001,31,0,671,1293,25,14,6,46,1,752,1044,16,196,0
0,_Clackamas,_204,_204,1077,848,178,31,149,1165,848,36,42,75,57,3,989,1107,51,17,54,10,1024,1009,68,9,826,1174,55,39,11,67,3,819,1033,80,177,3
0,_Clackamas,_251,_251,0,6,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0
0,_Clackamas,_252,_252,894,581,106,21,106,982,612,14,15,32,27,3,796,842,27,3,18,2,817,744,32,3,601,923,29,21,4,38,4,646,777,30,134,4
0,_Clackamas,_280,_280,790,371,70,18,59,829,340,17,29,31,33,5,716,508,28,8,18,2,719,451,37,1,609,526,28,24,4,43,1,607,494,47,81,1
0,_Clackamas,_281,_281,890,387,61,33,50,898,370,10,29,35,41,0,858,485,16,5,19,2,840,437,29,2,661,573,12,27,3,43,3,658,501,34,103,2
0,_Clackamas,_282,_282,236,131,21,14,24,244,127,3,11,16,16,0,230,158,8,2,10,1,235,144,17,1,175,189,7,9,1,18,2,192,158,17,29,1
0,_Clackamas,_283,_283,292,126,22,6,22,293,150,3,5,7,5,0,234,216,6,1,2,0,243,186,7,0,183,245,4,3,0,6,0,180,225,11,24,0
0,_Clackamas,_320,_320,594,414,58,15,57,628,424,13,20,17,18,0,494,589,16,8,17,0,539,502,21,0,390,643,19,20,1,15,2,401,526,35,105,0
0,_Clackamas,_321,_321,635,755,84,18,64,703,733,23,22,22,31,3,536,933,34,8,15,4,572,834,41,4,426,974,33,15,6,42,2,458,850,39,111,3
0,_Clackamas,_322,_322,464,507,61,13,60,518,521,9,12,8,28,0,397,665,15,3,14,2,427,595,21,1,321,695,16,15,2,25,1,352,616,16,70,0
0,_Clackamas,_323,_323,630,686,60,16,67,692,658,13,16,27,26,4,546,830,27,7,26,1,593,736,39,2,468,845,24,6,12,37,0,452,770,35,107,2
0,_Clackamas,_330,_330,835,1603,152,39,90,1052,1410,38,37,58,72,8,804,1732,51,16,60,6,857,1582,83,12,655,1746,52,32,29,76,4,709,1543,67,206,9
0,_Clackamas,_331,_331,255,310,28,7,23,264,299,11,7,12,15,0,215,362,14,5,13,1,219,340,23,0,162,381,15,13,3,20,1,187,325,16,54,0
0,_Clackamas,_332,_332,88,130,16,3,11,107,124,1,3,5,4,0,72,155,7,4,2,1,83,146,4,1,69,158,3,2,2,5,0,73,138,7,15,1
0,_Clackamas,_333,_333,477,784,61,13,65,575,697,16,12,27,36,4,444,859,26,16,25,2,488,739,43,5,380,857,33,20,6,37,3,387,755,40,109,4
0,_Clackamas,_350,_350,472,1072,101,31,53,632,880,28,28,43,67,0,502,1096,29,23,32,1,565,965,52,4,436,1062,33,27,13,54,2,423,957,63,130,1
0,_Clackamas,_351,_351,748,1945,147,49,95,1070,1613,48,21,73,102,1,796,1948,64,43,73,3,923,1751,114,5,659,1955,63,31,36,97,3,703,1789,86,203,4
0,_Clackamas,_352,_352,475,1207,90,32,45,657,987,18,28,59,57,3,484,1216,29,27,53,3,555,1121,56,5,396,1218,33,35,19,72,4,439,1066,75,165,4
0,_Clackamas,_360,_360,784,1251,95,42,81,984,988,20,31,56,85,5,798,1250,40,22,61,4,889,1106,57,5,696,1222,44,41,21,82,4,700,1077,72,196,6
0,_Clackamas,_361,_361,10,27,2,2,5,14,22,2,4,0,1,0,13,26,2,0,3,0,16,21,4,0,11,24,2,2,0,3,0,10,22,5,5,0
0,_Clackamas,_362,_362,431,753,49,18,35,530,606,18,23,38,34,2,438,750,26,11,27,2,475,650,46,2,349,770,32,21,14,37,3,362,658,47,125,2
0,_Clackamas,_363,_363,145,300,24,6,18,187,260,4,12,9,18,0,151,314,6,6,11,1,174,283,15,1,132,305,8,7,9,22,1,145,265,17,45,1
0,_Clackamas,_364,_364,266,392,31,9,20,339,310,12,8,12,21,2,264,398,15,8,14,1,297,326,25,4,227,382,15,13,13,19,2,243,336,28,59,3
0,_Clackamas,_370,_370,757,1268,111,42,91,957,1054,24,52,58,76,4,759,1322,47,25,54,5,871,1161,69,7,660,1308,34,43,27,92,2,674,1144,91,183,6
0,_Clackamas,_371,_371,596,896,65,40,67,769,715,24,29,32,62,3,603,940,29,15,40,5,668,810,53,7,526,923,30,26,16,71,2,563,807,49,130,5
0,_Clackamas,_372,_372,283,494,39,18,17,340,423,10,16,24,31,0,287,496,11,16,30,1,319,456,26,1,252,487,20,19,11,35,1,246,448,35,75,0
0,_Clackamas,_373,_373,1402,1257,154,94,133,1639,1018,37,77,88,105,3,1453,1299,95,28,92,7,1540,1206,96,6,1243,1325,77,89,20,111,6,1194,1172,184,270,4
0,_Clackamas,_400,_400,479,692,65,22,52,607,586,18,9,21,25,0,469,743,24,4,30,0,524,645,30,0,401,752,22,10,4,37,0,432,652,34,74,0
0,_Clackamas,_401,_401,450,685,57,19,39,555,578,9,17,36,35,0,435,732,23,10,21,2,469,627,28,2,342,742,20,19,10,31,1,363,620,39,106,1
0,_Clackamas,_402,_402,454,762,67,22,35,573,670,13,25,21,29,0,446,811,21,19,24,1,485,727,42,1,364,852,22,22,10,32,0,364,713,40,140,1
0,_Clackamas,_403,_403,441,652,48,21,43,510,579,10,24,24,25,0,418,705,20,8,23,3,438,635,32,2,330,717,15,27,11,40,1,347,617,44,90,1
0,_Clackamas,_404,_404,776,1366,131,38,64,959,1192,24,24,42,87,3,785,1409,40,25,59,5,822,1286,88,8,615,1465,45,24,27,85,4,661,1311,53,186,6
0,_Clackamas,_405,_405,283,668,47,10,44,397,569,8,8,20,34,0,300,689,16,10,17,1,324,621,22,1,236,673,17,9,15,46,1,267,573,24,102,0
0,_Clackamas,_406,_406,275,443,28,10,25,361,339,12,5,19,26,2,279,444,22,5,9,1,312,379,25,0,229,445,17,11,5,24,2,262,383,22,59,3
0,_Clackamas,_410,_410,741,521,73,26,68,763,505,15,28,38,38,3,686,604,33,13,38,4,693,560,42,2,545,661,30,19,7,64,2,548,577,52,109,5
0,_Clackamas,_411,_411,1322,1074,133,43,93,1416,976,30,41,63,73,4,1220,1219,54,21,73,0,1270,1117,77,2,1014,1339,54,44,8,60,2,1057,1135,84,192,1
0,_Clackamas,_412,_412,753,906,102,24,67,823,815,20,19,48,57,5,704,1004,32,11,33,2,769,885,50,4,584,1052,27,21,15,45,2,600,911,40,135,6
0,_Clackamas,_413,_413,905,705,118,40,79,997,569,25,39,72,69,3,904,735,53,17,52,5,942,673,61,4,762,751,51,47,29,68,4,760,667,96,154,2
0,_Clackamas,_414,_414,285,327,37,6,27,325,294,5,2,17,12,1,259,363,11,1,13,2,284,315,20,4,231,356,12,9,5,21,1,242,312,23,39,1
0,_Clackamas,_415,_415,44,54,5,2,3,49,42,2,2,6,2,0,42,54,2,2,0,0,44,50,5,1,29,57,4,1,0,7,1,32,45,3,16,1
0,_Clackamas,_416,_416,1547,1183,158,32,108,1627,1100,26,39,77,76,0,1389,1398,57,34,66,4,1481,1248,67,3,1188,1476,41,35,14,94,5,1194,1265,86,224,6
0,_Clackamas,_417,_417,14,15,0,1,1,16,10,0,0,1,2,0,12,16,0,1,1,0,14,14,1,0,11,17,0,1,1,0,0,10,15,2,0,0
0,_Clackamas,_418,_418,2054,1274,175,103,151,2152,1110,55,96,124,110,4,2022,1391,95,38,80,4,2065,1279,115,8,1648,1549,93,66,28,117,6,1652,1332,158,295,4
0,_Clackamas,_419,_419,401,254,33,20,25,437,223,6,17,23,17,0,377,306,6,4,21,2,402,258,15,1,313,308,19,16,2,31,1,312,270,33,65,0
0,_Clackamas,_420,_420,304,187,38,15,24,328,145,11,23,25,14,0,317,182,24,2,15,1,335,159,27,0,270,202,18,21,4,23,0,266,171,48,36,0
0,_Clackamas,_421,_421,1277,897,129,30,77,1424,760,27,22,70,77,4,1216,1020,46,25,61,2,1297,887,68,5,982,1124,56,36,14,85,0,1043,933,71,206,4
0,_Clackamas,_422,_422,1898,1131,157,114,165,2079,868,44,104,148,117,8,1912,1176,81,48,121,12,2022,1020,128,7,1623,1227,104,91,29,166,10,1588,1063,216,293,10
0,_Clackamas,_423,_423,5,14,0,0,2,6,12,0,0,0,2,0,5,13,0,0,2,0,6,12,0,0,5,13,0,0,0,0,0,3,13,0,1,0
0,_Clackamas,_500,_500,1753,1051,135,93,122,1875,894,41,85,106,81,3,1719,1178,58,19,77,10,1770,1042,102,9,1408,1241,72,78,17,126,6,1454,1004,166,275,5
0,_Clackamas,_501,_501,1736,716,140,97,107,1808,627,34,98,91,86,4,1727,831,73,25,72,11,1793,714,113,6,1451,908,83,98,13,99,8,1424,781,179,213,5
0,_Clackamas,_502,_502,1930,1070,158,110,123,2133,860,49,88,112,89,4,1889,1231,82,25,98,7,1969,1088,93,8,1549,1336,91,96,11,130,7,1595,1067,177,305,8
0,_Clackamas,_503,_503,1688,1197,158,66,130,1906,1007,30,38,78,104,3,1617,1413,50,18,74,2,1709,1221,80,3,1328,1500,53,42,24,109,4,1364,1243,111,279,6
0,_Clackamas,_504,_504,1058,741,104,68,100,1185,602,19,60,73,77,2,1044,805,47,27,65,1,1102,731,65,5,889,843,51,47,21,87,4,882,749,107,156,2
