IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_KY_20201103_GEN_PRE_REP_TRUMP,USA_KY_20201103_GEN_PRE_DEM_BIDEN,USA_KY_20201103_GEN_PRE_LIB_JORGENSEN,USA_KY_20201103_GEN_PRE_IND_WEST,USA_KY_20201103_GEN_PRE_IND_PIERCE,USA_KY_20201103_GEN_USS_REP_MCCONNELL,USA_KY_20201103_GEN_USS_DEM_MCGRATH,USA_KY_20201103_GEN_USS_LIB_BARRON
0,_001,_21001,_21001,7276,1392,60,25,10,6753,1623,348
0,_003,_21003,_21003,7587,1642,99,22,14,6949,1919,433
0,_005,_21005,_21005,9661,3348,184,34,19,9021,3663,551
0,_007,_21007,_21007,3356,825,32,10,2,3155,936,136
0,_009,_21009,_21009,14654,5127,201,52,21,13341,5600,1081
0,_011,_21011ED1OUT,_21011ED1OUT,468,182,11,0,2,422,201,33
0,_011,_21011ED1SHA,_21011ED1SHA,33,38,0,0,0,27,41,1
0,_011,_21011ED2OUT,_21011ED2OUT,678,256,3,3,3,606,304,32
0,_011,_21011ED2SAL,_21011ED2SAL,94,23,3,0,0,85,31,3
0,_011,_21011ED3MD2,_21011ED3MD2,439,121,4,2,2,400,149,20
0,_011,_21011ED3MD3,_21011ED3MD3,528,194,4,2,1,447,243,36
0,_011,_21011ED4OUT,_21011ED4OUT,809,289,6,1,1,707,339,57
0,_011,_21011ED4OWI,_21011ED4OWI,235,154,4,2,1,214,166,19
0,_011,_21011ED5OUT,_21011ED5OUT,473,158,6,0,1,431,182,27
0,_011,_21011ED5OWI,_21011ED5OWI,194,126,3,1,0,170,131,15
0,_011,_21011ED5SHA,_21011ED5SHA,35,32,0,1,1,28,40,3
0,_013,_21013,_21013,8140,1789,78,30,7,7346,2159,442
0,_015,_21015,_21015,44814,20901,981,171,93,41729,22450,2778
0,_017,_21017,_21017,6190,3296,106,31,20,5807,3477,364
0,_019,_21019CD04,_21019CD04,10906,5902,241,48,17,9855,6536,741
0,_019,_21019CD05,_21019CD05,3389,1181,46,7,4,3054,1379,190
0,_021,_21021,_21021,8872,5298,210,63,24,8418,5445,603
0,_023,_21023AI0MD1,_21023AI0MD1,6,0,0,1,0,5,0,2
0,_023,_21023AI0MD2,_21023AI0MD2,31,15,1,0,0,29,17,1
0,_023,_21023AUGMD1,_21023AUGMD1,203,59,1,0,2,174,74,12
0,_023,_21023AUGMD2,_21023AUGMD2,155,67,2,1,0,135,74,14
0,_023,_21023ED0OUT,_21023ED0OUT,1240,234,10,3,3,1120,288,81
0,_023,_21023ED1BRO,_21023ED1BRO,228,50,1,0,0,207,61,12
