IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_VA_20161108_GEN_PRE_DEM_CLINTON,USA_VA_20161108_GEN_PRE_REP_TRUMP,USA_VA_20161108_GEN_PRE_LIB_JOHNSON,USA_VA_20161108_GEN_PRE_IND_MCMULLIN,USA_VA_20161108_GEN_PRE_GRE_STEIN,USA_VA_20161108_GEN_PRE_OTH_WRITEIN
0,_Accomack County,_Chincoteague,_000101,502,1285,31,12,8,6
0,_Accomack County,_Atlantic,_000201,198,598,15,8,1,1
0,_Accomack County,_Greenbackville,_000202,342,753,19,5,8,3
0,_Accomack County,_New Church,_000301,808,640,24,5,3,6
0,_Accomack County,_Bloxom,_000401,160,370,10,4,1,0
0,_Accomack County,_Parksley,_000402,247,529,18,8,6,1
0,_Accomack County,_Saxis,_000403,47,165,1,3,1,0
0,_Accomack County,_Mappsville,_000501,449,263,12,1,8,5
0,_Accomack County,_Rue,_000502,436,129,10,5,2,2
0,_Accomack County,_Accomac,_000601,550,689,18,15,9,4
0,_Accomack County,_Tangier,_000602,31,239,1,1,1,2
0,_Accomack County,_Nandua,_000701,912,1055,41,22,8,15
0,_Accomack County,_Bobtown,_000801,229,399,14,3,5,4
0,_Accomack County,_Melfa,_000802,493,424,16,6,0,3
0,_Accomack County,_Wachapreague,_000803,156,377,7,2,0,1
0,_Accomack County,_Painter,_000901,1180,668,27,12,5,0
0,_Albemarle County,_Woodbrook,_000101,1390,752,93,26,15,24
0,_Albemarle County,_Branchlands,_000103,637,230,26,6,11,6
0,_Albemarle County,_Agnor-Hurt,_000104,1290,450,53,37,26,14
0,_Albemarle County,_Dunlora,_000105,1589,655,69,69,19,22
0,_Albemarle County,_Northside,_000106,1354,997,114,68,10,18
0,_Albemarle County,_Jack Jouett,_000201,1046,588,43,36,14,19
0,_Albemarle County,_University Hall,_000202,2159,451,169,54,24,22
0,_Albemarle County,_Georgetown,_000203,1560,441,74,45,23,26
0,_Albemarle County,_Belfield,_000204,503,320,42,18,2,9
0,_Albemarle County,_Ivy,_000301,1973,905,88,50,21,14
0,_Albemarle County,_Red Hill,_000302,1287,816,63,19,20,22
0,_Albemarle County,_East Ivy,_000304,463,271,28,20,3,4
0,_Albemarle County,_Country Green,_000305,1115,614,64,42,20,22
0,_Albemarle County,_Porters,_000306,686,430,36,7,23,7
0,_Albemarle County,_Yellow Mountain,_000307,304,223,19,15,6,9
0,_Albemarle County,_Scottsville,_000401,519,653,46,14,13,7
0,_Albemarle County,_Monticello,_000402,519,605,28,9,12,11
0,_Albemarle County,_Cale,_000405,2564,891,161,88,37,38
0,_Albemarle County,_Stone Robinson,_000406,1060,1104,82,45,15,22
0,_Albemarle County,_Keswick,_000501,628,440,24,10,8,14
0,_Albemarle County,_Stony Point,_000502,623,587,43,21,7,11
0,_Albemarle County,_Hollymead,_000503,1132,724,78,55,14,24
0,_Albemarle County,_Free Bridge,_000504,1898,910,130,55,22,31
0,_Albemarle County,_Baker-Butler,_000506,1303,1038,100,70,23,19
0,_Albemarle County,_Crozet,_000601,1838,1196,139,41,24,28
0,_Albemarle County,_Free Union,_000602,565,492,28,12,7,10
0,_Albemarle County,_Earlysville,_000603,1238,1157,93,48,16,26
0,_Albemarle County,_Brownsville,_000604,2102,1319,172,79,15,29
0,_Alexandria City,_Ladrey Senior Building,_000101,1340,456,51,35,16,31
0,_Alexandria City,_City Hall,_000102,1213,540,68,27,9,76
0,_Alexandria City,_Lyles Crouch School,_000103,2076,649,76,44,22,47
0,_Alexandria City,_Durant Center,_000104,1785,354,78,57,12,51
0,_Alexandria City,_Lee Center,_000105,2341,627,105,66,20,58
0,_Alexandria City,_Cora Kelly Center,_000106,3176,497,126,93,25,43
0,_Alexandria City,_Mt Vernon Recreation Center,_000107,3290,635,117,97,30,70
0,_Alexandria City,_George Washington Middle Sch,_000108,2988,519,121,105,33,66
0,_Alexandria City,_Fire Department Headquarters,_000109,1397,459,86,56,17,38
0,_Alexandria City,_Charles Houston Center,_000110,2054,321,87,51,30,30
0,_Alexandria City,_Maury School,_000201,1786,390,65,44,18,50
0,_Alexandria City,_George Mason School,_000202,1695,528,59,68,9,79
0,_Alexandria City,_Agudas Achim Synagogue,_000203,2045,386,59,65,18,38
0,_Alexandria City,_Blessed Sacrament Church,_000204,1637,511,65,49,18,67
0,_Alexandria City,_Douglas MacArthur School,_000205,2162,653,101,67,12,78
0,_Alexandria City,_Chinquapin Park Recreation Ctr,_000206,1710,465,58,38,17,35
0,_Alexandria City,_Temple Beth El Synagogue,_000207,2150,678,90,56,22,54
0,_Alexandria City,_NOVA Arts Center,_000208,2377,508,79,45,39,31
0,_Alexandria City,_James K Polk School,_000209,2533,541,64,49,22,31
0,_Alexandria City,_The Hermitage,_000210,1111,358,38,39,10,19
0,_Alexandria City,_Patrick Henry Rec Center,_000302,1942,322,63,38,29,26
0,_Alexandria City,_Charles E Beatley Library,_000303,2208,389,50,21,25,35
0,_Alexandria City,_Samuel Tucker School,_000304,3100,540,93,57,41,40
0,_Alexandria City,_John Adams School,_000305,2544,417,50,34,26,32
0,_Alexandria City,_William Ramsay School,_000306,2740,372,49,24,27,26
0,_Alexandria City,_South Port,_000307,1899,458,34,22,24,19
0,_Alexandria City,_Cameron Station Community Ctr,_000308,1943,712,88,51,21,55
0,_Alleghany County,_Arritt,_005101,152,559,13,7,2,1
0,_Alleghany County,_Dameron,_005103,56,210,2,4,1,0
0,_Alleghany County,_Humpback Bridge,_005201,114,311,3,8,0,4
0,_Alleghany County,_Dolly Ann,_005202,142,386,19,3,0,2
0,_Alleghany County,_Callaghan,_005301,82,349,7,0,1,0
0,_Alleghany County,_Griffith,_005302,194,483,21,2,1,1
0,_Alleghany County,_Low Moor,_005401,151,360,12,6,2,1
0,_Alleghany County,_Jackson Heights,_005402,156,495,15,13,4,1
0,_Alleghany County,_Iron Gate,_005501,115,166,10,3,1,1
0,_Alleghany County,_Peters Switch,_005502,207,592,17,7,7,0
0,_Alleghany County,_District 1,_005601,439,565,29,6,7,1
0,_Alleghany County,_District 2,_005701,358,398,16,10,9,5
0,_Amelia County,_Number One,_000101,387,830,30,10,3,2
0,_Amelia County,_Number Two,_000201,464,937,23,12,2,8
0,_Amelia County,_Number Three,_000301,350,1002,25,1,1,5
0,_Amelia County,_Number Four,_000401,350,942,26,11,1,7
0,_Amelia County,_Number Five,_000501,577,997,25,7,4,1
0,_Amherst County,_Wright Shop,_000101,612,466,14,6,1,2
0,_Amherst County,_New Glasgow,_000102,475,857,23,19,6,7
0,_Amherst County,_Coolwell,_000103,135,528,15,11,2,2
0,_Amherst County,_Court House,_000201,803,1192,60,29,16,12
0,_Amherst County,_Temperance,_000202,223,610,14,8,4,7
0,_Amherst County,_Monroe,_000301,242,637,22,11,2,3
0,_Amherst County,_Elon,_000302,528,1555,38,13,9,14
0,_Amherst County,_Pleasant View,_000303,123,345,12,2,2,3
0,_Amherst County,_Amelon,_000401,792,1594,57,28,16,14
0,_Amherst County,_Lonco,_000402,216,414,9,10,0,5
0,_Amherst County,_Madison,_000501,908,1521,53,22,7,10
0,_Appomattox County,_Vera,_000101,112,480,11,4,4,2
0,_Appomattox County,_Pamplin,_000102,302,751,14,8,6,4
0,_Appomattox County,_Chap,_000201,158,224,6,4,6,1
0,_Appomattox County,_Spout Spring,_000202,223,1030,20,2,1,4
0,_Appomattox County,_US 460,_000301,176,582,9,7,3,4
0,_Appomattox County,_Stonewall,_000302,229,667,16,9,1,7
0,_Appomattox County,_Courthouse,_000401,353,976,39,10,8,9
0,_Appomattox County,_Oakville,_000501,321,734,17,3,0,8
0,_Appomattox County,_Agee,_000502,149,271,4,3,2,3
0,_Arlington County,_Arlington,_000001,1965,315,33,25,21,22
0,_Arlington County,_Ashton Heights,_000002,1904,354,62,50,16,34
0,_Arlington County,_Aurora Hills,_000003,1106,320,61,52,9,33
0,_Arlington County,_Ballston,_000004,1788,415,129,51,18,43
0,_Arlington County,_Barcroft,_000005,1631,360,72,30,9,30
0,_Arlington County,_Crystal City,_000006,1422,429,46,39,10,29
0,_Arlington County,_Cherrydale,_000007,1773,384,72,63,9,41
0,_Arlington County,_Hume,_000008,2290,531,109,48,13,50
0,_Arlington County,_Columbia,_000009,2196,444,81,51,26,30
0,_Arlington County,_Wilson,_000010,2408,485,106,62,31,48
0,_Arlington County,_East Falls Church,_000011,1191,334,42,27,6,42
0,_Arlington County,_Fairlington,_000012,1794,429,82,81,10,62
0,_Arlington County,_Glen Carlyn,_000013,1373,329,38,17,12,13
0,_Arlington County,_Clarendon,_000014,1491,288,104,34,10,29
0,_Arlington County,_Lyon Park,_000015,2059,440,88,80,13,54
0,_Arlington County,_Lyon Village,_000016,1873,401,92,60,12,41
0,_Arlington County,_Overlee Knolls,_000017,1895,435,79,62,20,30
0,_Arlington County,_Park Lane,_000018,2577,517,160,84,20,58
0,_Arlington County,_Rosslyn,_000019,2221,411,82,44,23,54
0,_Arlington County,_Thrifton,_000020,1353,445,66,46,20,50
0,_Arlington County,_Virginia Highlands,_000021,2603,626,125,128,35,58
0,_Arlington County,_Abingdon,_000022,2016,352,85,84,13,56
0,_Arlington County,_Westover,_000023,1877,400,61,45,16,46
0,_Arlington County,_Woodlawn,_000024,2260,456,103,72,13,33
0,_Arlington County,_Arlington Forest,_000025,1507,378,52,26,12,21
0,_Arlington County,_Fillmore,_000026,2683,480,117,53,31,42
0,_Arlington County,_Jefferson,_000027,1741,455,72,57,17,43
0,_Arlington County,_Claremont,_000028,2467,417,82,39,26,33
0,_Arlington County,_Dominion Hills,_000029,1720,363,62,66,12,28
0,_Arlington County,_Glebe,_000030,2080,277,65,51,16,25
0,_Arlington County,_Lexington,_000031,1803,413,55,41,17,45
0,_Arlington County,_Oakridge,_000032,792,260,34,40,6,28
0,_Arlington County,_Rock Spring,_000033,1537,494,60,45,10,52
0,_Arlington County,_Yorktown,_000034,1533,405,60,53,16,43
0,_Arlington County,_Madison,_000035,1344,629,52,35,18,45
0,_Arlington County,_Marshall,_000036,1861,531,78,34,14,64
0,_Arlington County,_Nottingham,_000037,1519,467,57,41,17,42
0,_Arlington County,_Arlington View,_000038,1853,262,53,44,26,14
0,_Arlington County,_Ashlawn,_000039,1044,289,26,22,13,29
0,_Arlington County,_Virginia Square,_000040,2213,514,140,94,14,51
0,_Arlington County,_Woodbury,_000041,1767,333,108,51,17,38
0,_Arlington County,_Shirlington,_000042,1672,347,55,48,22,38
0,_Arlington County,_Arlington Mill,_000043,1914,220,21,20,14,7
0,_Arlington County,_Dawson Terrace,_000044,1546,228,61,44,16,27
0,_Arlington County,_Buckingham,_000045,1845,323,73,40,23,10
0,_Arlington County,_Central,_000046,2328,498,131,72,16,48
0,_Arlington County,_Four Mile Run,_000047,1669,248,43,46,13,17
0,_Arlington County,_Courtlands,_000048,1397,382,69,51,13,29
0,_Arlington County,_Monroe,_000049,1280,224,78,24,6,30
0,_Arlington County,_Crystal Plaza,_000050,1631,417,75,53,8,31
0,_Arlington County,_Taylor,_000051,586,122,21,6,3,5
0,_Arlington County,_Gunston,_000052,1618,310,49,63,18,26
0,_Augusta County,_Jolivue,_000101,296,633,23,15,3,5
0,_Augusta County,_Stuarts Draft Elementary,_000102,345,820,38,19,4,11
0,_Augusta County,_Verona,_000103,452,1395,55,33,12,9
0,_Augusta County,_Crimora,_000201,389,1613,61,31,14,8
0,_Augusta County,_New Hope,_000202,243,901,44,11,7,8
0,_Augusta County,_Weyers Cave,_000203,464,1365,71,30,14,13
0,_Augusta County,_Fort Defiance,_000301,694,1991,102,42,15,21
0,_Augusta County,_North River,_000302,126,572,26,13,3,2
0,_Augusta County,_Mount Solon,_000303,133,829,31,8,2,2
0,_Augusta County,_Churchville Fire Station,_000304,168,690,21,9,5,0
0,_Augusta County,_Buffalo Gap,_000401,216,814,20,9,5,3
0,_Augusta County,_Churchville Elementary,_000402,170,771,32,9,10,5
0,_Augusta County,_Craigsville,_000403,126,560,12,6,7,9
0,_Augusta County,_Deerfield,_000404,36,286,6,1,4,0
0,_Augusta County,_Cedar Green,_000405,368,918,48,15,7,10
0,_Augusta County,_Greenville,_000501,294,1292,42,11,3,10
0,_Augusta County,_Middlebrook,_000502,185,608,25,13,6,4
0,_Augusta County,_Spottswood,_000503,180,682,18,3,1,2
0,_Augusta County,_White Hill,_000504,380,1412,54,18,7,10
0,_Augusta County,_Sherando,_000601,258,913,34,18,6,10
0,_Augusta County,_Ridgeview,_000602,587,1991,72,36,11,12
0,_Augusta County,_Lyndhurst,_000603,474,1243,60,41,13,12
0,_Augusta County,_Dooms,_000801,285,1056,47,20,10,2
0,_Augusta County,_Fishersville,_000802,701,1611,84,50,12,14
0,_Augusta County,_Wilson,_000803,607,1197,73,41,19,20
0,_Bath County,_Warm Springs,_017101,122,263,8,2,0,3
0,_Bath County,_Mountain Grove,_017102,13,65,0,2,3,0
0,_Bath County,_Hot Springs,_017201,145,194,12,4,2,3
0,_Bath County,_Fairview,_017301,44,290,11,6,2,0
0,_Bath County,_Burnsville,_017302,22,87,1,0,0,0
0,_Bath County,_Millboro,_017401,134,338,8,4,2,2
0,_Bath County,_Healing Springs,_017501,123,311,16,4,6,1
0,_Bedford County,_Goodview Elem School,_000101,353,1477,46,19,3,13
0,_Bedford County,_Hardy Vol Fire Co,_000102,185,597,15,10,1,7
0,_Bedford County,_Chamblissburg Baptist Church,_000103,299,1019,49,9,6,6
0,_Bedford County,_Stewartsville Rescue Squad,_000104,252,933,28,8,5,3
0,_Bedford County,_Bedford Christian Church,_000201,176,490,21,10,4,6
0,_Bedford County,_Staunton River High School,_000202,203,693,20,8,2,3
0,_Bedford County,_Moneta Elem School,_000203,462,1409,41,14,14,11
0,_Bedford County,_Quaker Baptist Church,_000204,153,444,10,10,1,2
0,_Bedford County,_Saunders Vol Fire Co,_000205,347,987,30,11,8,7
0,_Bedford County,_New London Academy,_000301,504,2225,77,52,2,7
0,_Bedford County,_Bedford Regional Water Auth,_000302,293,966,25,13,5,5
0,_Bedford County,_Bethesda United Methodist Church,_000303,183,620,19,8,1,3
0,_Bedford County,_Forest Youth Athletic Assoc,_000304,212,626,20,18,1,9
0,_Bedford County,_Huddleston Elem School,_000305,147,528,15,10,2,3
0,_Bedford County,_Forest Elementary School,_000401,475,1392,53,43,3,17
0,_Bedford County,_Thomas Jefferson Elem School,_000402,325,895,40,36,6,5
0,_Bedford County,_Knights Of Columbus Bldg,_000403,604,1768,71,63,12,10
0,_Bedford County,_St. Paul Baptist Church,_000404,367,1311,33,41,10,1
0,_Bedford County,_Big Island Elem School,_000502,115,364,14,6,1,6
0,_Bedford County,_Sedalia Center,_000503,142,492,22,3,4,7
0,_Bedford County,_Suck Springs Baptist Church,_000504,217,713,22,11,2,5
0,_Bedford County,_Boonsboro Elementary School,_000505,531,1237,76,16,6,23
0,_Bedford County,_Boonsboro Ruritan Club,_000506,580,1914,80,69,14,13
0,_Bedford County,_Montvale Elem School,_000601,272,963,23,19,10,7
0,_Bedford County,_Shady Grove Fire Department,_000602,274,1073,33,12,10,6
0,_Bedford County,_Thaxton Baptist Church #1,_000603,74,281,5,5,3,1
0,_Bedford County,_Bedford Welcome Center,_000604,568,1288,55,23,11,9
0,_Bedford County,_Goode Vol Rescue Squad,_000701,306,1458,30,35,11,8
0,_Bedford County,_Liberty High School,_000702,256,709,14,11,3,5
0,_Bedford County,_Thaxton Baptist Church #2,_000703,165,588,26,5,5,3
0,_Bedford County,_Bedford Central Library,_000704,728,1199,61,29,10,10
0,_Bland County,_Bastian,_000101,53,335,9,1,5,2
0,_Bland County,_Ceres,_000102,57,334,9,0,2,1
0,_Bland County,_Davis,_000201,23,107,1,0,2,0
0,_Bland County,_Seddon,_000202,112,587,18,5,1,8
0,_Bland County,_Hollybrook,_000301,52,340,7,3,1,1
0,_Bland County,_Mechanicsburg,_000302,27,175,4,2,0,0
0,_Bland County,_Rocky Gap,_000401,129,695,13,10,6,2
0,_Botetourt County,_Daleville,_000101,560,1281,56,20,10,14
0,_Botetourt County,_Greenfield,_000102,446,1542,62,15,13,13
0,_Botetourt County,_Blue Ridge,_000201,475,1464,60,19,8,8
0,_Botetourt County,_Rainbow Forest,_000202,451,1476,51,24,7,4
0,_Botetourt County,_Buchanan,_000301,413,1262,45,18,10,3
0,_Botetourt County,_Mill Creek,_000302,376,1206,41,13,11,8
0,_Botetourt County,_Eagle Rock,_000403,235,849,30,9,9,2
0,_Botetourt County,_Fincastle,_000406,565,1625,65,26,13,19
0,_Botetourt County,_Troutville,_000501,287,890,21,13,7,0
0,_Botetourt County,_Cloverdale,_000502,686,1780,66,28,13,16
0,_Bristol City,_First Ward,_000001,325,908,18,11,9,4
0,_Bristol City,_Second Ward,_000002,532,1076,43,23,18,26
0,_Bristol City,_Third Ward,_000003,403,723,28,10,8,5
0,_Bristol City,_Fourth Ward,_000004,575,2185,47,20,15,15
0,_Brunswick County,_Brodnax,_000101,208,180,4,3,4,1
0,_Brunswick County,_Rock Store,_000102,266,351,9,4,3,0
0,_Brunswick County,_Tillman,_000103,251,469,14,1,4,0
0,_Brunswick County,_Dromgoole,_000201,130,106,2,0,0,0
0,_Brunswick County,_Edgerton,_000202,535,200,7,1,3,0
0,_Brunswick County,_Fitzhugh,_000203,386,194,5,4,0,0
0,_Brunswick County,_Alberta,_000301,82,84,1,1,2,0
0,_Brunswick County,_Danieltown,_000302,364,353,6,3,0,3
0,_Brunswick County,_Elmore,_000303,183,164,2,1,1,0
0,_Brunswick County,_Seymour,_000304,194,148,4,2,1,0
0,_Brunswick County,_Sturgeon,_000401,719,422,7,1,0,3
0,_Brunswick County,_King's Store,_000402,299,106,0,0,0,0
0,_Brunswick County,_Totaro,_000501,864,269,11,9,7,8
0,_Buchanan County,_Blackey,_027102,61,377,2,1,0,0
0,_Buchanan County,_Hurley,_027103,122,823,6,5,3,4
0,_Buchanan County,_Grassy,_027201,31,80,2,0,0,0
0,_Buchanan County,_Bull,_027202,97,478,9,4,1,4
0,_Buchanan County,_Rocklick,_027203,104,547,8,4,0,2
0,_Buchanan County,_Slate,_027301,156,592,6,3,2,2
0,_Buchanan County,_North Grundy,_027302,127,515,10,6,9,1
0,_Buchanan County,_South Grundy,_027403,163,730,22,16,2,2
0,_Buchanan County,_Oakwood,_027404,15,63,2,0,0,0
0,_Buchanan County,_Prater,_027501,136,454,10,1,1,1
0,_Buchanan County,_Fox,_027502,64,112,1,1,0,0
0,_Buchanan County,_Vansant,_027503,112,457,11,5,4,4
0,_Buchanan County,_Council,_027601,87,305,4,0,0,0
0,_Buchanan County,_Garden,_027602,102,445,7,3,0,1
0,_Buchanan County,_Hurricane,_027603,102,269,2,1,1,2
0,_Buchanan County,_Whitewood,_027701,162,570,6,7,1,2
0,_Buchanan County,_Contrary,_027702,80,479,14,2,0,0
0,_Buckingham County,_New Canton,_029101,471,525,15,6,1,2
0,_Buckingham County,_Georgia Creek,_029102,88,171,2,2,1,2
0,_Buckingham County,_White Hall,_029201,310,316,3,5,0,0
0,_Buckingham County,_Curdsville,_029301,262,442,10,10,1,9
0,_Buckingham County,_New Store,_029302,134,396,9,3,1,1
0,_Buckingham County,_Maysville,_029401,438,688,20,12,6,1
0,_Buckingham County,_Wrights,_029501,156,342,6,4,3,2
0,_Buckingham County,_Glenmore,_029502,324,329,9,8,11,2
0,_Buckingham County,_Slate River,_029601,592,382,23,1,2,5
0,_Buckingham County,_Gold Hill,_029701,353,359,5,7,1,0
0,_Buena Vista City,_First Ward,_000001,365,825,33,58,8,4
0,_Buena Vista City,_Second Ward,_000002,328,605,50,116,5,10
0,_Campbell County,_BROOKVILLE,_000101,487,1637,53,54,13,8
0,_Campbell County,_NEW LONDON,_000102,465,1746,77,44,13,9
0,_Campbell County,_WALKER,_000201,466,1266,57,50,9,21
0,_Campbell County,_BEDFORD SPRINGS,_000202,471,1769,65,37,5,15
0,_Campbell County,_EVINGTON,_000301,194,615,18,6,0,2
0,_Campbell County,_OTTER RIVER,_000302,181,585,12,12,2,3
0,_Campbell County,_ALTAVISTA,_000303,724,1216,63,16,8,14
0,_Campbell County,_THREE FORKS,_000401,239,1072,21,14,5,3
0,_Campbell County,_COURT HOUSE,_000402,495,1845,67,28,4,15
0,_Campbell County,_SPRING HILL,_000501,470,1846,79,60,12,15
0,_Campbell County,_YELLOW BRANCH,_000502,411,987,31,19,4,3
0,_Campbell County,_KINGS,_000601,444,1099,46,28,3,0
0,_Campbell County,_CONCORD,_000602,526,1522,42,24,12,10
0,_Campbell County,_BROOKNEAL,_000701,386,746,11,3,6,5
0,_Campbell County,_GLADYS,_000702,513,1114,11,13,4,4
0,_Campbell County,_MORRIS CHURCH,_000703,192,486,12,11,2,7
0,_Caroline County,_Bowling Green,_000101,431,785,39,19,7,7
0,_Caroline County,_Sparta,_000102,365,612,10,6,7,1
0,_Caroline County,_North Madison,_000201,531,543,34,13,9,5
0,_Caroline County,_South Madison,_000202,523,794,49,21,17,0
0,_Caroline County,_Port Royal,_000301,242,396,12,14,7,2
0,_Caroline County,_Woodford,_000302,688,844,31,16,13,8
0,_Caroline County,_Dawn,_000401,1103,715,57,9,7,0
0,_Caroline County,_Carmel Church,_000402,395,235,14,4,2,7
0,_Caroline County,_West Mattaponi,_000501,742,495,21,14,10,4
0,_Caroline County,_Milford,_000502,450,546,17,13,5,3
0,_Caroline County,_Chilesburg,_000601,586,661,55,16,10,4
0,_Caroline County,_Lake,_000602,376,521,29,9,5,7
0,_Carroll County,_MT BETHEL,_000101,104,464,7,0,6,1
0,_Carroll County,_ST PAUL,_000102,117,675,11,7,2,2
0,_Carroll County,_LAMBSBURG,_000103,79,361,5,6,1,1
0,_Carroll County,_FANCY GAP,_000105,134,487,13,5,3,10
0,_Carroll County,_HILLSVILLE B,_000201,349,1106,26,12,13,4
0,_Carroll County,_LAUREL FORK,_000202,113,422,9,4,3,6
0,_Carroll County,_GLADESBORO,_000203,181,599,11,6,4,3
0,_Carroll County,_HILLSVILLE C,_000301,377,1327,25,11,8,5
0,_Carroll County,_SYLVATUS,_000302,111,521,14,4,2,2
0,_Carroll County,_DUGSPUR,_000303,47,276,2,2,2,3
0,_Carroll County,_WOODLAWN D,_000402,254,974,32,13,8,5
0,_Carroll County,_OAKLAND D,_000403,110,551,12,6,3,2
0,_Carroll County,_OAKLAND A,_000405,119,467,12,2,4,0
0,_Carroll County,_WOODLAWN F,_000406,43,173,3,1,0,1
0,_Carroll County,_VAUGHAN,_000501,63,359,9,2,1,0
0,_Carroll County,_GLADEVILLE,_000502,167,879,15,5,3,9
0,_Carroll County,_WOODLAWN E,_000503,89,486,6,1,1,0
0,_Carroll County,_LAUREL,_000504,102,536,8,1,5,2
0,_Charles City County,_Precinct 1-1,_000101,772,607,33,10,6,6
0,_Charles City County,_Precinct 2-1,_000201,911,378,17,8,4,3
0,_Charles City County,_Precinct 3-1,_000301,813,491,17,21,5,5
0,_Charlotte County,_County Seat,_000101,359,541,21,8,1,1
0,_Charlotte County,_Red Oak Wylliesburg,_000201,338,521,9,4,4,0
0,_Charlotte County,_Drakes Branch,_000302,259,428,14,5,1,1
0,_Charlotte County,_Keysville,_000401,304,535,23,8,3,5
0,_Charlotte County,_Cullen/Red House,_000501,298,478,8,4,0,1
0,_Charlotte County,_Phenix,_000602,274,581,17,3,1,2
0,_Charlotte County,_Bacon/Saxe,_000702,323,395,19,6,1,3
0,_Charlottesville City,_Recreation,_000101,2310,418,88,37,37,28
0,_Charlottesville City,_Clark,_000102,2328,379,86,49,41,19
0,_Charlottesville City,_Carver,_000201,2104,196,75,29,25,18
0,_Charlottesville City,_Walker,_000202,2339,551,96,58,43,27
0,_Charlottesville City,_Benjamin Tonsler,_000301,2014,209,68,40,21,14
0,_Charlottesville City,_Johnson,_000302,2219,482,109,71,19,29
0,_Charlottesville City,_Buford,_000303,1497,175,83,28,14,17
0,_Charlottesville City,_Venable,_000401,1552,249,101,33,10,18
0,_Charlottesville City,_Alumni Hall,_000402,1538,301,79,38,20,38
0,_Chesapeake City,_Great Bridge,_000001,657,1297,96,16,8,15
0,_Chesapeake City,_Bethel,_000002,387,1488,70,19,8,8
0,_Chesapeake City,_Camelot,_000003,2103,152,24,12,20,7
0,_Chesapeake City,_Churchland,_000004,474,950,67,16,9,8
0,_Chesapeake City,_Crestwood,_000005,1563,203,31,13,13,3
0,_Chesapeake City,_Deep Creek,_000006,1666,1623,135,34,11,21
0,_Chesapeake City,_Greenbrier,_000007,849,1318,75,39,9,18
0,_Chesapeake City,_South Norfolk Recreation,_000008,1047,962,45,21,13,13
0,_Chesapeake City,_Bells Mill,_000009,1103,2097,116,32,18,19
0,_Chesapeake City,_Oscar Smith,_000010,455,469,52,11,4,8
0,_Chesapeake City,_Geneva Park,_000011,706,924,61,10,9,6
0,_Chesapeake City,_Georgetown,_000012,1365,233,19,7,11,7
0,_Chesapeake City,_Gilmerton,_000013,726,905,59,25,15,7
0,_Chesapeake City,_Grassfield,_000014,194,362,9,7,2,4
0,_Chesapeake City,_B M Williams,_000015,1061,672,47,20,20,1
0,_Chesapeake City,_Hickory Grove,_000016,546,1552,56,19,12,7
0,_Chesapeake City,_Indian Creek,_000017,313,1101,47,9,10,7
0,_Chesapeake City,_Indian River,_000018,957,472,69,20,14,4
0,_Chesapeake City,_Jolliff,_000019,434,904,54,19,6,8
0,_Chesapeake City,_E W Chittum (CD 4),_000020,892,1176,61,16,10,10
0,_Chesapeake City,_E W Chittum (CD 3),_000020,4,10,1,0,0,0
0,_Chesapeake City,_Fellowship,_000021,786,1095,59,19,5,11
0,_Chesapeake City,_Norfolk Highlands,_000022,506,766,44,12,9,10
0,_Chesapeake City,_Oak Grove,_000023,1045,857,66,28,15,17
0,_Chesapeake City,_Oaklette,_000024,1035,707,54,21,25,10
0,_Chesapeake City,_St Julians,_000025,501,462,34,8,5,7
0,_Chesapeake City,_Johnson Park,_000026,592,276,24,9,11,10
0,_Chesapeake City,_Silverwood,_000027,896,1278,73,28,21,22
0,_Chesapeake City,_Sunray I,_000028,66,208,10,0,0,3
0,_Chesapeake City,_Tanglewood,_000029,449,1052,57,24,12,7
0,_Chesapeake City,_South Norfolk,_000030,939,39,11,2,9,1
0,_Chesapeake City,_Carver School,_000031,1699,312,30,7,12,4
0,_Chesapeake City,_Providence,_000032,2247,114,20,7,10,10
0,_Chesapeake City,_Westover,_000033,402,619,32,12,10,11
0,_Chesapeake City,_Hickory Middle School,_000034,657,1921,117,26,15,29
0,_Chesapeake City,_Taylor Road,_000035,846,371,46,17,10,2
0,_Chesapeake City,_Great Bridge Baptist Church,_000036,934,1802,87,27,17,16
0,_Chesapeake City,_Bridgetown,_000037,584,950,72,14,6,7
0,_Chesapeake City,_Bailey Creek,_000038,465,1162,68,22,8,15
0,_Chesapeake City,_Lake Drummond,_000039,238,560,31,7,6,6
0,_Chesapeake City,_River Birch,_000040,1199,1002,82,28,9,14
0,_Chesapeake City,_John T West,_000041,1478,1246,89,42,24,25
0,_Chesapeake City,_Parkways,_000042,957,680,48,22,11,8
0,_Chesapeake City,_Pleasant Crossing,_000043,409,1152,56,19,8,11
0,_Chesapeake City,_Nansemond,_000044,716,571,21,10,6,4
0,_Chesapeake City,_Sunray II,_000045,436,240,17,6,6,3
0,_Chesapeake City,_Bells Mill II,_000046,703,973,55,23,7,20
0,_Chesapeake City,_Green Sea,_000047,291,722,60,9,4,7
0,_Chesapeake City,_Jolliff Middle School,_000048,1883,206,26,9,12,9
0,_Chesapeake City,_Waterway,_000049,1453,1674,99,36,31,25
0,_Chesapeake City,_River Walk,_000050,1043,786,78,31,18,21
0,_Chesapeake City,_Coopers Way,_000051,560,1735,66,22,11,8
0,_Chesapeake City,_Shipyard Road,_000052,1098,785,71,24,11,12
